Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
Result(algorithm=entropy-2, size=800, topics=44, minScore=0.83, tp=27360, tn=579558, fp=0, fn=33082, precision=1.0, recall=0.4526653651434433, clusters=52, totalSimilarities=640000, calculatedSimilarities=50228, minimumSimilarities=60442, time=2)
Result(algorithm=entropy-3, size=800, topics=44, minScore=0.83, tp=22170, tn=579558, fp=0, fn=38272, precision=1.0, recall=0.3667979219747857, clusters=103, totalSimilarities=640000, calculatedSimilarities=31114, minimumSimilarities=60442, time=2)
Result(algorithm=gradient, size=800, topics=44, minScore=0.83, tp=45838, tn=579558, fp=0, fn=14604, precision=1.0, recall=0.7583799344826445, clusters=48, totalSimilarities=640000, calculatedSimilarities=118366, minimumSimilarities=60442, time=1)
Result(algorithm=hentropy-100, size=800, topics=44, minScore=0.83, tp=29212, tn=579558, fp=0, fn=31230, precision=1.0, recall=0.48330631018166176, clusters=19, totalSimilarities=640000, calculatedSimilarities=60006, minimumSimilarities=60442, time=5)
Result(algorithm=hentropy-200, size=800, topics=44, minScore=0.83, tp=46742, tn=579558, fp=0, fn=13700, precision=1.0, recall=0.7733364216935243, clusters=13, totalSimilarities=640000, calculatedSimilarities=140176, minimumSimilarities=60442, time=3)
Result(algorithm=hentropy-300, size=800, topics=44, minScore=0.83, tp=57578, tn=579558, fp=0, fn=2864, precision=1.0, recall=0.9526157307832303, clusters=12, totalSimilarities=640000, calculatedSimilarities=195676, minimumSimilarities=60442, time=4)
Result(algorithm=kmeans-100, size=800, topics=44, minScore=0.83, tp=46100, tn=579558, fp=0, fn=14342, precision=1.0, recall=0.7627146686079217, clusters=44, totalSimilarities=640000, calculatedSimilarities=3571946, minimumSimilarities=60442, time=2759)
Result(algorithm=kmeans-20, size=800, topics=44, minScore=0.83, tp=47600, tn=579558, fp=0, fn=12842, precision=1.0, recall=0.78753184871447, clusters=44, totalSimilarities=640000, calculatedSimilarities=757728, minimumSimilarities=60442, time=979)
Result(algorithm=kmeans-50, size=800, topics=44, minScore=0.83, tp=48384, tn=579558, fp=0, fn=12058, precision=1.0, recall=0.8005029615168261, clusters=44, totalSimilarities=640000, calculatedSimilarities=1814716, minimumSimilarities=60442, time=1378)
Result(algorithm=random, size=800, topics=44, minScore=0.83, tp=1300, tn=579558, fp=0, fn=59142, precision=1.0, recall=0.021508222759008638, clusters=44, totalSimilarities=640000, calculatedSimilarities=14690, minimumSimilarities=60442, time=1)

900	Result(algorithm=dbscan-10, size=900, topics=44, minScore=0.83, tp=78832, tn=731160, fp=0, fn=8, precision=1.0, recall=0.999898528665652, clusters=3, totalSimilarities=810000, calculatedSimilarities=700188, minimumSimilarities=78840, time=2376)
Result(algorithm=dbscan-100, size=900, topics=44, minScore=0.83, tp=77146, tn=731160, fp=0, fn=1694, precision=1.0, recall=0.9785134449518011, clusters=2, totalSimilarities=810000, calculatedSimilarities=418457, minimumSimilarities=78840, time=2364)
Result(algorithm=dbscan-200, size=900, topics=44, minScore=0.83, tp=76000, tn=731160, fp=0, fn=2840, precision=1.0, recall=0.9639776763064434, clusters=2, totalSimilarities=810000, calculatedSimilarities=433327, minimumSimilarities=78840, time=2122)
Result(algorithm=dbscan-50, size=900, topics=44, minScore=0.83, tp=78280, tn=731160, fp=0, fn=560, precision=1.0, recall=0.9928970065956367, clusters=2, totalSimilarities=810000, calculatedSimilarities=620186, minimumSimilarities=78840, time=2337)
Result(algorithm=entropy-1, size=900, topics=44, minScore=0.83, tp=75266, tn=731160, fp=0, fn=3574, precision=1.0, recall=0.9546676813800101, clusters=13, totalSimilarities=810000, calculatedSimilarities=253420, minimumSimilarities=78840, time=2)
Result(algorithm=entropy-2, size=900, topics=44, minScore=0.83, tp=36550, tn=731160, fp=0, fn=42290, precision=1.0, recall=0.46359715880263824, clusters=55, totalSimilarities=810000, calculatedSimilarities=65920, minimumSimilarities=78840, time=2)
Result(algorithm=entropy-3, size=900, topics=44, minScore=0.83, tp=30194, tn=731160, fp=0, fn=48646, precision=1.0, recall=0.38297818366311515, clusters=109, totalSimilarities=810000, calculatedSimilarities=41976, minimumSimilarities=78840, time=2)
Result(algorithm=gradient, size=900, topics=44, minScore=0.83, tp=60686, tn=731160, fp=0, fn=18154, precision=1.0, recall=0.7697361745306951, clusters=55, totalSimilarities=810000, calculatedSimilarities=153858, minimumSimilarities=78840, time=1)
